ID,INCIDENT_CODE,INCIDENT_TYPE_CODE,REQUESTED_BY,AFFECTED_ITEM,HELP_DESK_ID,INCIDENT_LINE_ITEM,ASSIGNED_DEPT,INCIDENT_PART_NO,INCIDENT_DESCRIPTION,INVESTIGATION_CODE,DIAGNOSIS_CODE,DEFECTIVE_PARTS,DIAGNOSIS_DESCRIPTION,RESOLUTION_CODE,R_DEPT_CODE,R_WORK_CENTER,RESOLUTION_DESC,CLOSURE_CODE,CLOSING_COMMENT
1,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.1,REPLACE,SUB-PART-001,replace fouling component,D1.1.1.1,R_DEPT-01,R_W_CENTER-01,removed fouling part,D1.1.1.1.1,"Inspection by Group-01: No Need to remove fouling part, rework and use"
2,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.1,REPLACE,SUB-PART-001,replace fouling component,D1.1.1.1,R_DEPT-01,R_W_CENTER-01,removed fouling part,D1.1.1.1.2,Inspection by Group-02: Need more reworking to fit in
3,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.1,REPLACE,SUB-PART-001,replace fouling component,D1.1.1.1,R_DEPT-01,R_W_CENTER-01,removed fouling part,D1.1.1.1.3,Inspection by Group-03: Rework is not correct. Follow the procedure # 103
4,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.1,REPLACE,SUB-PART-001,replace fouling component,D1.1.1.1,R_DEPT-01,R_W_CENTER-01,removed fouling part,D1.1.1.1.4,Inspection by Group-04: After following the #103 its not working perfectly
5,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.1,REPLACE,SUB-PART-001,replace fouling component,D1.1.1.1,R_DEPT-01,R_W_CENTER-01,removed fouling part,D1.1.1.1.5,Inspection by Group-05: Remove the fouling part
6,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.1,REPLACE,SUB-PART-001,replace fouling component,D1.1.1.2,R_DEPT-02,R_W_CENTER-02,installed new component,D1.1.1.2.1,"Inspection by Group-01: New Installation is not required, follow OP#205"
7,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.1,REPLACE,SUB-PART-001,replace fouling component,D1.1.1.2,R_DEPT-02,R_W_CENTER-02,installed new component,D1.1.1.2.2,Inspection by Group-02: Also follow the process in OP#206 to repair the existing one
8,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.1,REPLACE,SUB-PART-001,replace fouling component,D1.1.1.2,R_DEPT-02,R_W_CENTER-02,installed new component,D1.1.1.2.3,Inspection by Group-03: Rework is not correct. It may require to install new component. But after follwing OP#207
9,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.1,REPLACE,SUB-PART-001,replace fouling component,D1.1.1.2,R_DEPT-02,R_W_CENTER-02,installed new component,D1.1.1.2.4,Inspection by Group-04: Operations of OP#207 will not be cost effective
10,D1,N,ssom@ca.xyz.com,PRODUCT-AX,REP-01,D1.1,DEPT-01,PART-01,PART-01 is fouling and  cracked or clipped,D1.1.1,REPLACE,SUB-PART-001,replace fouling component,D1.1.1.2,R_DEPT-02,R_W_CENTER-02,installed new component,D1.1.1.2.5,Inspection by Group-05: Installation of new component is accepted
